Wavelength (um),Wavenumber (cm^-1),Frequency (THz),n,k,alpha' (cm^-1)
0.2,5.00×104,1.50×103,1.396,1.1×10−7,0.069
0.225,4.44×104,1.33×103,1.373,4.9×10−8,0.027
0.25,4.00×104,1.20×103,1.362,3.35×10−8,0.0168
0.275,3.64×104,1.09×103,1.354,2.35×10−8,0.0107
0.3,3.33×104,999,1.349,1.6×10−8,6.7×10−3
0.325,3.08×104,922,1.346,1.08×10−8,4.18×10−3
0.35,2.86×104,857,1.343,6.5×10−9,2.3×10−3
0.375,2.67×104,799,1.341,3.5×10−9,1.2×10−3
0.4,2.50×104,749,1.339,1.86×10−9,5.84×10−4
0.425,2.35×104,705,1.338,1.3×10−9,3.8×10−4
0.45,2.22×104,666,1.337,1.02×10−9,2.85×10−4
0.475,2.11×104,631,1.336,9.35×10−10,2.47×10−4
0.5,2.00×104,600,1.335,1.00×10−9,2.51×10−4
0.525,1.90×104,571,1.334,1.32×10−9,3.16×10−4
0.55,1.82×104,545,1.333,1.96×10−9,4.48×10−4
0.575,1.74×104,521,1.333,3.60×10−9,7.87×10−4
0.6,1.67×104,500,1.332,1.09×10−8,2.28×10−3
0.625,1.60×104,480,1.332,1.39×10−8,2.79×10−3
0.65,1.54×104,461,1.331,1.64×10−8,3.17×10−3
0.675,1.48×104,444,1.331,2.23×10−8,4.15×10−3
0.7,1.43×104,428,1.331,3.35×10−8,6.01×10−3
0.725,1.38×104,414,1.33,9.15×10−8,0.0159
0.75,1.33×104,400,1.33,1.56×10−7,0.0261
0.775,1.29×104,387,1.33,1.48×10−7,0.024
0.8,1.25×104,375,1.329,1.25×10−7,0.0196
0.825,1.21×104,363,1.329,1.82×10−7,0.0282
0.85,1.18×104,353,1.329,2.93×10−7,0.0433
0.875,1.14×104,343,1.328,3.91×10−7,0.0562
0.9,1.11×104,333,1.328,4.86×10−7,0.0679
0.925,1.08×104,324,1.328,1.06×10−6,0.144
0.95,1.05×104,316,1.327,2.93×10−6,0.388
0.975,1.03×104,307,1.327,3.48×10−6,0.449
1,1.0×104,300,1.327,2.89×10−6,0.36
1.2,8300,250,1.324,9.89×10−6,1
1.4,7100,210,1.321,1.38×10−4,12
1.6,6200,190,1.317,8.55×10−5,6.7
1.8,5600,170,1.312,1.15×10−4,8
2,5000,150,1.306,1.1×10−3,69
2.2,4500,136,1.296,2.89×10−4,17
2.4,4200,125,1.279,9.56×10−4,50
2.6,3800,115,1.242,3.17×10−3,150
2.65,3770,113,1.219,6.7×10−5,318
2.7,3700,111,1.188,0.019,880
2.75,3640,109,1.157,0.059,2700
2.8,3570,107,1.142,0.115,5160
2.85,3510,105,1.149,0.185,8160
2.9,3450,103,1.201,0.268,11600
2.95,3390,102,1.292,0.298,12700
3,3330,100,1.371,0.272,11400
3.05,3280,98.3,1.426,0.24,9990
3.1,3230,96.7,1.467,0.192,7780
3.15,3170,95.2,1.483,0.135,5390
3.2,3120,93.7,1.478,0.0924,3630
3.25,3080,92.2,1.467,0.061,2360
3.3,3030,90.8,1.45,0.0368,1400
3.35,2990,89.5,1.432,0.0261,979
3.4,2940,88.2,1.42,0.0195,721
3.45,2900,86.9,1.41,0.0132,481
3.5,2860,85.7,1.4,0.0094,340
3.6,2780,83,1.385,0.00515,180
3.7,2700,81,1.374,0.0036,120
3.8,2630,79,1.364,0.0034,110
3.9,2560,77,1.357,0.0038,120
4,2500,75,1.351,0.0046,140
4.1,2440,73,1.346,0.00562,170
4.2,2380,71,1.342,0.00688,210
4.3,2330,70,1.338,0.00845,250
4.4,2270,69,1.334,0.0103,290
4.5,2220,67,1.332,0.0134,370
4.6,2170,65,1.33,0.0147,400
4.7,2130,64,1.33,0.0157,420
4.8,2080,62,1.33,0.015,390
4.9,2040,61,1.328,0.0137,350
5,2000,60,1.325,0.0124,310
5.1,1960,59,1.322,0.0111,270
5.2,1920,58,1.317,0.0101,240
5.3,1890,57,1.312,0.0098,230
5.4,1850,56,1.305,0.0103,240
5.5,1820,55,1.298,0.0116,380
5.6,1790,54,1.289,0.0142,320
5.7,1750,53,1.277,0.0203,450
5.8,1720,52,1.262,0.033,710
5.9,1690,51,1.248,0.0622,1300
6,1670,50,1.265,0.107,2200
6.1,1640,49,1.319,0.131,2700
6.2,1610,48.4,1.363,0.088,1800
6.3,1590,47.6,1.357,0.057,1100
6.4,1560,46.8,1.347,0.0449,880
6.5,1540,46.1,1.339,0.0392,760
6.6,1520,45.4,1.334,0.0356,680
6.7,1490,44.7,1.329,0.0337,630
6.8,1470,44.1,1.324,0.0327,600
6.9,1450,43.4,1.321,0.0322,590
7,1430,42.8,1.317,0.032,570